,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,val1,val2,val3,val4
7260,nm0007298,Komala A.P.,1934,\N,"music_department,soundtrack","tt0262281,tt0263191,tt0257209,tt0263833",tt0262281,tt0263191,tt0257209,tt0263833
7261,nm0007299,Giri A.S.,\N,\N,actor,tt0267004,tt0267004,,,
7262,nm0007300,Subba Rao A.V. Jr.,\N,\N,actor,tt0256406,tt0256406,,,
7263,nm0007301,Subba Rao A.V.,\N,\N,actor,"tt0259553,tt0830653,tt0279729,tt0207000",tt0259553,tt0830653,tt0279729,tt0207000
7264,nm0007302,Brynjar Aa,1960,\N,"actor,writer","tt0155476,tt0491486",tt0155476,tt0491486,,
7265,nm0007303,Annika Åberg,\N,\N,actress,tt0093402,tt0093402,,,
7266,nm0007304,Bjørn Aabech,\N,\N,camera_department,tt0124781,tt0124781,,,
7267,nm0007305,Andreas Aabel,1911,1948,actor,"tt0040504,tt0023355,tt0143899,tt0029958",tt0040504,tt0023355,tt0143899,tt0029958
7268,nm0007306,Hauk Aabel,1869,1961,actor,"tt0027982,tt0018508,tt0022946,tt0024194",tt0027982,tt0018508,tt0022946,tt0024194
7269,nm0007307,Hauk Aabel,\N,\N,actress,"tt0062937,tt0112503,tt0129110",tt0062937,tt0112503,tt0129110,
7270,nm0007308,Per Aabel,1902,1999,"actor,director,writer","tt0143810,tt0143899,tt0024194,tt0034848",tt0143810,tt0143899,tt0024194,tt0034848
7271,nm0007309,Per Aabel,\N,\N,actress,"tt0108410,tt0107754,tt0112199",tt0108410,tt0107754,tt0112199,
7272,nm0007310,Palle Aabentoft,\N,\N,actor,tt0156815,tt0156815,,,
7273,nm0007311,Christen Aaberg,\N,\N,actress,tt0193218,tt0193218,,,
7274,nm0007312,Dennis Aaberg,\N,\N,"soundtrack,director,actor","tt0077235,tt3256630,tt2370224",tt0077235,tt3256630,tt2370224,
7275,nm0007313,Linus Aaberg,\N,\N,actor,"tt0046204,tt0012043",tt0046204,tt0012043,,
7276,nm0007314,Linus Aaberg,1977,\N,actor,"tt0103421,tt0113576",tt0103421,tt0113576,,
7277,nm0007315,Linus Aaberg,\N,\N,art_director,tt0062994,tt0062994,,,
7278,nm0007316,Linus Aaberg,\N,\N,special_effects,tt0044064,tt0044064,,,
7279,nm0007317,Aage Aaberge,\N,\N,"producer,production_manager,miscellaneous","tt1118649,tt3300980,tt1613750,tt5715066",tt1118649,tt3300980,tt1613750,tt5715066
7280,nm0007318,Kristian Aaby,\N,\N,actor,tt0117817,tt0117817,,,
7281,nm0007319,Finn Aabye,1935,\N,"producer,production_manager,location_management","tt0073503,tt0124903,tt0123282,tt0056546",tt0073503,tt0124903,tt0123282,tt0056546
7282,nm0007320,Alex Aach,\N,\N,"camera_department,cinematographer","tt0280609,tt1130988,tt4005402,tt0335119",tt0280609,tt1130988,tt4005402,tt0335119
7283,nm0007321,Erik Aadahl,1976,\N,"sound_department,actor,composer","tt0831387,tt1024648,tt3371366,tt6644200",tt0831387,tt1024648,tt3371366,tt6644200
7284,nm0007322,Aadil,\N,\N,actor,"tt0411815,tt0083987,tt1266545,tt1886663",tt0411815,tt0083987,tt1266545,tt1886663
7285,nm0007323,Beverly Aadland,1942,2010,"actress,soundtrack","tt0042171,tt0052717,tt0052225,tt0043224",tt0042171,tt0052717,tt0052225,tt0043224
7286,nm0007324,Tørres Aadland,\N,\N,actor,"tt0054139,tt0049808",tt0054139,tt0049808,,
